tax_id,Org_name,GeneID,CurrentID,Status,Symbol,Aliases,description,other_designations,map_location,chromosome,genomic_nucleotide_accession,start_position_on_the_genomic_accession,end_position_on_the_genomic_accession,orientation,exon_count,OMIM
9606,Homo sapiens,1630,0,live,DCC,"CRC18, CRCR1, HGPPS2, IGDCC1, MRMV1, NTN1R1",DCC netrin 1 receptor,netrin receptor DCC|colorectal cancer suppressor|deleted in colorectal carcinoma|immunoglobulin superfamily DCC subclass member 1|putative colorectal tumor suppressor|tumor suppressor protein DCC,18q21.2,18,NC_000018.10,52340197,53535899,plus,31,120470
9606,Homo sapiens,7157,0,live,TP53,"BCC7, BMFS5, LFS1, P53, TRP53",tumor protein p53,cellular tumor antigen p53|antigen NY-CO-13|mutant tumor protein 53|phosphoprotein p53|transformation-related protein 53|tumor protein 53|tumor supressor p53,17p13.1,17,NC_000017.11,7668421,7687490,minus,13,191170
9606,Homo sapiens,399948,0,live,COLCA1,"C11orf92, CASC12, LOH11CR1F",colorectal cancer associated 1,cancer susceptibility candidate 12|colorectal cancer-associated protein 1,11q23.1,11,NC_000011.10,111293389,111305048,minus,6,615693
9606,Homo sapiens,4092,0,live,SMAD7,"CRCS3, MADH7, MADH8",SMAD family member 7,"mothers against decapentaplegic homolog 7|MAD (mothers against decapentaplegic, Drosophila) homolog 7|MAD homolog 8|Mothers against decapentaplegic, drosophila, homolog of, 7|SMAD, mothers against DPP homolog 7|hSMAD7|mothers against DPP homolog 8",18q21.1,18,NC_000018.10,48919853,48950965,minus,5,602932
9606,Homo sapiens,120376,0,live,POU2AF3,"C11orf93, CASC13, COLCA2, LOH11CR1G, OCA-T2",POU class 2 homeobox associating factor 3,POU class 2 homeobox associating factor 3|cancer susceptibility candidate 13|cancer susceptibility candidate protein 13|colorectal cancer associated 2|colorectal cancer associated two|colorectal cancer-associated protein 2,11q23.1,11,NC_000011.10,111298546,111308735,plus,11,615694
9606,Homo sapiens,7040,0,live,TGFB1,"CED, DPD1, IBDIMDE, LAP, TGF-beta1, TGFB, TGFbeta",transforming growth factor beta 1,transforming growth factor beta-1 proprotein|TGF-beta-1|latency-associated peptide|prepro-transforming growth factor beta-1|transforming growth factor beta1,19q13.2,19,NC_000019.10,41330323,41353922,minus,7,190180
9606,Homo sapiens,673,0,live,BRAF,"B-RAF1, B-raf-1, BRAF1, NS7, RAFB1, BRAF","B-Raf proto-oncogene, serine/threonine kinase",serine/threonine-protein kinase B-raf|94 kDa B-raf protein|B-Raf proto-oncogene serine/threonine-protein kinase (p94)|B-Raf serine/threonine-protein|murine sarcoma viral (v-raf) oncogene homolog B1|proto-oncogene B-Raf|v-raf murine sarcoma viral oncogene homolog B|v-raf murine sarcoma viral oncogene homolog B1,7q34,7,NC_000007.14,140713328,140924929,minus,24,164757
9606,Homo sapiens,207,0,live,AKT1,"AKT, PKB, PKB-ALPHA, PRKBA, RAC, RAC-ALPHA",AKT serine/threonine kinase 1,RAC-alpha serine/threonine-protein kinase|AKT1m|PKB alpha|RAC-PK-alpha|protein kinase B alpha|proto-oncogene c-Akt|rac protein kinase alpha|serine-threonine protein kinase|v-akt murine thymoma viral oncogene homolog 1|v-akt murine thymoma viral oncogene-like protein 1,14q32.33,14,NC_000014.9,104769349,104795748,minus,17,164730
9606,Homo sapiens,1499,0,live,CTNNB1,"CTNNB, EVR7, MRD19, NEDSDV, armadillo",catenin beta 1,"catenin beta-1|catenin (cadherin-associated protein), beta 1, 88kDa",3p22.1,3,NC_000003.12,41199505,41240443,plus,21,116806
9606,Homo sapiens,4609,0,live,MYC,"MRTLC, bHLHe39, c-Myc, MYC","MYC proto-oncogene, bHLH transcription factor",myc proto-oncogene protein|avian myelocytomatosis viral oncogene homolog|class E basic helix-loop-helix protein 39|myc-related translation/localization regulatory factor|proto-oncogene c-Myc|transcription factor p64|v-myc avian myelocytomatosis viral oncogene homolog|v-myc myelocytomatosis viral oncogene homolog,8q24.21,8,NC_000008.11,127735434,127742951,plus,3,190080
